serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,monthly_income_imputed
0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,8916.0
0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,2100.0
0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,900.0
0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,3000.0
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,7117.0
0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0,0.0
1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,0.0
0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,8420.0
0,0.083418009,62,0,977.0,6600.0,6,0,1,0,0.0,6600.0
0,0.304490668,52,0,0.8083404740000002,3500.0,10,0,2,0,0.0,4100.0
0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,6600.0
0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0,4500.0
0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0,8916.0
0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0,2630.0
0,0.9999999,62,0,0.0,17500.0,1,0,0,0,0.0,17500.0
0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0,4187.0
0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0,3295.0
0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0,4100.0
0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0,3000.0
0,0.142013011,67,0,1824.0,7117.0,7,0,2,0,0.0,7117.0
0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0.0,4000.0
0,0.017258976999999998,53,0,2.604510673,12414.0,13,0,1,0,2.0,3000.0
0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0.0,1350.0
0,0.0,58,0,0.316144874,4886.0,9,0,1,0,1.0,4322.0
0,0.360509632,58,1,3282.0,3166.0,8,0,2,0,0.0,3166.0
0,0.003749688,64,0,0.004061230999999999,3200.0,5,0,0,1,0.0,3000.0
0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1.0,5400.0
0,0.114830941,46,0,0.026235802000000003,6250.0,6,0,0,0,3.0,4000.0
0,0.018886792,80,0,0.0034787790000000004,10060.0,5,0,0,0,0.0,3000.0
0,0.06790706000000002,46,0,0.149103029,10200.0,6,0,2,0,0.0,18000.0
0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0.0,4000.0
0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0.0,6088.0
0,0.0,59,0,0.35169962200000005,4500.0,12,0,1,0,0.0,4500.0
0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1.0,12500.0
0,0.243872021,53,0,0.534027778,8639.0,22,0,2,0,3.0,5670.0
0,0.9999999,38,0,0.43369976,5821.0,7,0,1,0,4.0,0.0
0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1.0,4322.0
0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0,4100.0
0,0.081379827,63,0,1268.0,4566.0,8,0,1,0,0.0,4566.0
0,0.008632034999999998,79,0,0.365151154,4200.0,9,0,1,0,0.0,4322.0
1,0.946963874,35,0,1593.0,6600.0,6,0,1,0,1.0,6600.0
0,0.405183973,46,0,0.667835346,7700.0,22,0,2,0,1.0,5670.0
1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0,4593.0
0,0.043032042,64,0,0.332016389,6833.0,14,0,2,0,0.0,4000.0
0,0.311954668,61,0,0.269281443,9866.0,12,0,2,0,2.0,13900.0
0,0.046640328,92,1,0.034326669,2650.0,13,0,0,0,0.0,9400.0
0,0.20808276,64,0,2826.0,4000.0,14,0,2,0,0.0,4000.0
0,0.028113957,61,0,0.031349387,2200.0,12,0,0,0,0.0,3800.0
1,1.9534883719999998,38,0,0.153500141,3556.0,5,0,0,0,2.0,3000.0
0,0.7875221329999998,52,0,0.353860086,4416.0,12,0,0,0,1.0,3800.0
1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1.0,6389.0
0,0.9999999,68,0,0.040493251,6000.0,0,0,0,0,0.0,2400.0
0,0.09811305,49,0,0.257017809,6625.0,9,0,2,0,0.0,17560.0
0,0.112321289,53,0,0.266909775,8500.0,9,0,1,0,5.0,4322.0
0,0.0,23,0,0.0,1725.0,1,0,0,0,0.0,17500.0
0,0.090614887,42,0,86.0,3000.0,5,0,0,0,0.0,3000.0
0,0.267541336,59,0,0.637607437,5700.0,13,0,2,0,1.0,6088.0
0,0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0.0,5000.0
0,0.0,44,0,0.32638368100000004,6666.0,4,0,2,0,1.0,2630.0
