rating,name,reference,price_level,lat,lon,opening_hours,vicinity,photos,id,types,icon
3.6,Tatiana Cafe,CnRuAAAA74rurWW0-Y0u81s-pgMjy6RuXL32ooXS5No6trwzwwfbaSxlcxfTNCdp9QfhzZjHFW23seyD7cizKX0Fqo5EgDpjo9Yq3WmrflUzac_ENrrDxFrAiWMXqaz5hthxWROt0QjVCFNs5KRm86ziHoqJXBIQZ1eIt_z5JGxYG8gLK7ngXRoUHwF-R5AESx_voOrl6Df-bCRmPLU,3,40.575314,-73.962882,{u'open_now': True},"3145 Brighton 4th St, Brooklyn","[{u'photo_reference': u'CpQBiQAAAEsQ2Y1Qag68OFpLC1XFpz8fN3KaBRBjaA7J1ZH_fmMNWWQM7pkZ2dzDQJl6dutvbXtq-IGB_OLy96kWTKqepdLINx6KJAzn-wLOJxd0V7Cci6BUCuR5dyPTfGjEHzXSyFYYGgZdOpJA_ZKhkPqwYctMCzrRICrfthxSiIQMbaQrWNl7D3b4Qz3qAE6HVEW3PhIQW74O3GeP5K-cgXbIlUifPBoUBEpvs5dkLDwtZXkaPa2D-IsZThE', u'width': 720, u'html_attributions': [u'<a href=""https://plus.google.com/115060083337749179625"">Andrii Demianenko</a>'], u'height': 482}]",fab752e91b7ddfd69d7244e2db1fd499c2c92ae8,"[u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Dunkin' Donuts,CnRwAAAAyeAHcrwH39MFR7atiMmEJF-dPQgf9w5EVVJkWzjlnNi3-IKcD1Saog0DmCiowLGFKMGeqIuXSLSzxqRKUSqMilW7KHsLbTEd9OW8W118KGKvmMB2Lmw7K6J33sjhecYj9DRRQ8b_0dM5ebcawraiARIQqx4dO8sGSfQnkmpZX8ePpBoUX6PVY4h5UKfN7E7pzbQmpIvKh-Y,1,40.57563,-73.997217,{u'open_now': True},"3015 Mermaid Ave, Brooklyn",,36aca55dfd1ea942221f47352fbb734e4b10f252,"[u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Trigo Cafe Corporation,CoQBeQAAAOx_9t62DynC4-ocNXRE1Uzsqh2QBYxGqiBaZJ6blmtTHDwcubRJh7DZ5Fik5AuFAoozup1HpW1KIoCVcT66iIVXUtYMl62mk9k49j_x4gI9IsAu8arMP4FlUm38k8FiTr_Hogg2oZAm-CZl69etvICViVHfohp421xf7F4xaB0nEhD7Qx2elA2zV5TrFS23e7wgGhS4Y76vHSHb-u-foDLRrynvDT2ApA,,40.57627,-73.987077,,"2004 Mermaid Ave, Brooklyn",,366c7ec6bf634a2d381385fca812b94d8a2adad0,"[u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.7,Footprints Cafe,CoQBcgAAADC2hjvo3LNfLwDH4gXTx8_8buQ7PyBQrU20_vNVsOwYjCpXMTCzfoeJ4qM-Qk7uz4mguJpA_9BhiRfDFxMTmm6QCoRUvGMBV-KsIIjbFuc2_BWV4-Oe2LAFIPLEA5YMeSbPyCkmI2M_gbgCgGu7DwP6KeB2LPO-ARqFYZDiz3HBEhBvt0WEbPUKl_m7AntR13_zGhR_fxj7b6GytASqng3lqplD9vfnEw,2,40.575605,-73.983214,{u'open_now': True},"1521 Surf Ave, Brooklyn","[{u'photo_reference': u'CnRnAAAAHK1uqbFmp0g7FMyKN73tdsKJkzMO9yeS9YyNZVaQ5hLjMWj-6cj7F7Z0G7-sLcOF5I8cwN8oRMtl4j4ulsEd4KPXPl4ylqyMZ2do7sAEyIqYu2LOhfp-QcddBWOE3EUXhkn44GCtqhzjevRIVtXgpxIQYzNc3Cawq9UCa6PEXsWZJhoUA4TURyj6LOYxjjp6dGBbqJI5kfM', u'width': 2048, u'html_attributions': [], u'height': 1536}]",f9aa9e515c5ecfd1e87834a4ae544eea46f8cd45,"[u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
,Third Season,CnRvAAAAgbhHAz4c6P0aWEwoXwgX_d0sxnA9uO7mQU2ZCm7cSxE3F4_RtvK0WgQw9Pwv1Mg3WOj-smgIy7VXgoQkFqccofl48TG8Cwj0L7ZsTLTkVqnZYJkl2KwOCchQzPUvVbe8GviC71a2tWVdhGcc419rdBIQ89KnAu3vmxXf-yp-baQiBBoUzqf7M2oSRZi3OUrO4NMKKgtB8bQ,,40.575897,-73.95596,,"1311 Brightwater Ave, Brooklyn",,1f3ee21c10261727efdfcdb705a09bcf751f13cf,"[u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
,inLifeNYC,CnRrAAAAIdcAteBMdNP6E-dL1-EJI1bOr3jsk4PfZREojSC7Qu4cD4wGYrUnGlr6TnpMCO6ivDmBK8XSMWQ9oahFlD0jqmA0eLouSdFwIPaZ0zBJ_TWk3HVj77aZFE0yFVpCe2w_bxzGtKEKUqVjR3CLmKUbnRIQWHvvB4AsUlc-LZOn4jTZqBoUwHuDdx5ft6kQQ_7UdE8H3iR6vnM,,40.577383,-73.980331,{u'open_now': True},"2880 W 12th St #5, Brooklyn","[{u'photo_reference': u'CnRnAAAABTTmKcHzuzTcqhbaOUzEQ-D11abZFgwKhbPW_kag4nxTc8rfB8xjHzIEAn-98Xkt3rhiA40ONlv-vqB6HpZtobDpbQi6kDtRDefNlBiEF3dWkuy0nkhTM63vbuHVGVIwwXBrhBHxVdcFvJroGXLVYBIQrANnvd_XYbyvYeF6coLUgBoUOQ02J6PWVA5_SdDujYkeCPgCiQs', u'width': 700, u'html_attributions': [], u'height': 400}]",d4bf121c23f67f73c12fdde55360c49260b1d642,"[u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.9,Ocean View Cafe,CoQBcQAAABnobwrPJjOWJI4mWaWbXdQwqOVCehsHHVO8kQBNGIkveSPhBKURNV8hdLdwmACwodIkXdOmVNrp_yp2rPeUZ6bkgNIqZs0vNZxO2IAMC_SAO3J_p_LDpjDpfHldjhwG10EH0d0dKkablJXsZka4nL7RtXneZwrIOkP8kRVLZf3sEhC7DRPQG9-JwCUtcOwHGJGuGhR8Gw90cP-E0m7YpZ6pu-wxQZB9Dg,2,40.576833,-73.964272,{u'open_now': True},"290 Brighton Beach Ave, Brooklyn","[{u'photo_reference': u'CnRoAAAABX0J8fhR-F-Yhl7QpMIioSV6YsLtIPyPRwWP2Nq2gPWxnGxyZOmgEQ0-Ki0bEk2XIaaejptRAxcV6Zitk335hb_7OpbQtpYziFhE83eJNt0mUizhQ_9Pd72IX3nEzrvgqX1Y1n5m3vPp1l_6aXLOChIQ2GYS7MWUX78wz45qI3wmEBoUZdAtoSwmsZwu9gq6if4AsUHZMAQ', u'width': 5184, u'html_attributions': [u'<a href=""https://plus.google.com/114498192340430955994"">S. Dolinni</a>'], u'height': 3456}]",752528878e3d4b87c24583495be49e6da30d7b53,"[u'meal_takeaway', u'cafe', u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,La Petit Cafe,CnRvAAAAgp3jdSvQWgn1qqWC66bWMqfsXjeA4Xos5hefvJuFSeOjuc0BhtFUEl84_KuedvmW0s1iJQYnD5II4SISFaNrJgn4SFiU__bHBTTdR9fq1wlNcnIMwun05LvzL11TzPoe76y22rPlx9wzEDTDt91PjxIQPj8bA0UBSeicq1nYaUopZhoUVOhibaZ8mRHs4hYoLj_huRlPH88,,40.576913,-73.963102,,"3087 Brighton 4th St, Brooklyn",,3b3301bdca9eb4e1a21e73923a9f9bdfebf55463,"[u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
4.2,Starbucks,CnRrAAAAWZ0McwujybiJtgstnH-unMUcThnMC1DsbWicHKOT1mFnUVacbpZftZVZXU69SHv3PoNqgfpLtbPudr4Uz0z_wiW_h6nsNXtXtjpTU0jHbS8Wtl_PpKlRivVghNQfAmRpvO43eB28RDbnU8OMVzv5rRIQYGMSnVDrybepk4_hHWoNjhoUdD3g_5F0Zq1ehJHWNPpSMLt2C4s,2,40.577844,-73.961116,{u'open_now': True},"607 Brighton Beach Ave, Brooklyn",,55d61ff7232abb31b7f172cbc3069f4b02822d8f,"[u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.9,Kashkar Cafe,CnRuAAAAzdM2bqgLGOrSop0StCqdwJIDpIQ3XSpFSxej95pJyVIyTjGLCkk7z1_elRjZoYw9snXtSq0cozXRgut71dPNmesB2ujLhZsjAYgDbwxsjL9av825g5iGBTa5nMRycd5Nddn17sqwQ3fdv-2lbersthIQS12TbSCaV-_p_bRwvqgKBxoUH73KlS_uL5oohZl8AcOFfBVw_TY,1,40.577702,-73.955552,{u'open_now': True},"1141 Brighton Beach Ave, New York","[{u'photo_reference': u'CoQBcwAAAOXPkl3Qw2ufhSiSPVsjQDxIntA8tSHemYtgM74BhGqn8qonTnbPH-B-2Fi2bSMV6mQmerKCFEiLu41duLqiLiANNx7QF7GjoHYOI4F9cQ50t7tZnoH2k2Pq9aIsUWaKIQqgRIVkfZl2kJHKeC5hscjm6PZo1vUKY-rt9gy5ODauEhDHDri2ITNsObDxQGAVoaz_GhTPXdpaOey0GBMpbvABRw-6mfFuew', u'width': 911, u'html_attributions': [u'From a Google User'], u'height': 768}]",96bd56da6e56a6ad0af3d08b99bd4c7c82abd25e,"[u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
