,Unique Words,Unique Words,Unique Words,Unique Words,Unique Words,Unique Words,Unique Words,frequency,frequency,frequency,frequency,frequency,frequency,frequency
city,chicago,houston,losangeles,newyork,philadelphia,phoenix,sanantonio,chicago,houston,losangeles,newyork,philadelphia,phoenix,sanantonio
idx,,,,,,,,,,,,,,
0,tennis,workout,tennis,tennis,tennis,softball,league,25,12,38,47,25,38,9
1,female,tennis,lessons,poker,softball,soccer,th,10,9,16,33,15,24,9
2,softball,trainer,trainer,female,training,coed,tennis,10,9,15,33,11,18,9
3,soccer,join,female,game,new,female,basketball,8,9,14,24,10,17,7
4,lessons,personal,workout,lessons,coed,personal,fitness,8,9,13,21,9,14,6
5,new,fitness,training,english,female,training,coed,7,8,13,17,9,13,6
6,coed,training,softball,language,fitness,football,training,6,8,13,17,8,12,4
7,league,soccer,coed,exchange,partners,league,work,6,8,13,17,8,12,4
8,martial,partners,league,park,friends,workout,football,5,7,13,17,7,10,4
9,arts,buddy,pick,softball,personal,indoor,mens,5,6,11,16,7,10,4
10,play,friends,personal,central,fit,summer,workout,5,6,11,14,7,10,4
11,partners,ladies,gym,personal,workout,play,hitting,5,6,10,13,7,10,3
12,fitness,certified,new,yoga,bootcamp,male,softball,4,5,9,12,6,9,3
13,summer,lose,soccer,club,play,night,available,4,5,9,12,6,9,3
14,buddy,activity,classes,new,learn,tennis,gym,3,5,9,11,6,9,3
15,chicago,weight,buddy,best,boxing,youth,soccer,3,5,9,10,6,8,3
16,men,coach,play,dance,gym,phoenix,camps,3,4,9,10,5,8,3
17,baseball,party,boxing,play,make,lil,events,3,4,9,9,5,7,3
18,amateur,football,class,japanese,soccer,new,play,3,4,8,9,5,7,3
19,make,female,available,trainer,real,leagues,coaching,3,4,8,9,5,7,3
