,Unique Words,Unique Words,Unique Words,Unique Words,Unique Words,Unique Words,Unique Words,frequency,frequency,frequency,frequency,frequency,frequency,frequency
city,chicago,houston,losangeles,newyork,philadelphia,phoenix,sanantonio,chicago,houston,losangeles,newyork,philadelphia,phoenix,sanantonio
idx,,,,,,,,,,,,,,
0,tennis,workout,tennis,tennis,tennis,softball,league,25,12,38,47,25,38,9
1,softball,trainer,lessons,female,softball,soccer,th,10,9,16,33,15,24,9
2,female,join,trainer,poker,training,coed,tennis,10,9,15,33,11,18,9
3,soccer,personal,female,game,new,female,basketball,8,9,14,24,10,17,7
4,player,tennis,softball,lessons,coed,personal,fitness,8,9,13,21,9,14,6
5,lessons,soccer,league,park,female,training,coed,8,8,13,17,9,13,6
6,new,fitness,workout,english,get,league,training,7,8,13,17,8,12,4
7,coed,training,training,exchange,fitness,football,football,6,8,13,16,8,12,4
8,league,partners,coed,language,partners,get,mens,6,7,13,16,8,11,4
9,arts,buddy,pick,softball,personal,summer,workout,5,6,11,16,7,10,4
10,martial,ladies,personal,central,friends,indoor,work,5,6,11,14,7,10,4
11,play,friends,gym,personal,workout,play,play,5,6,10,13,7,10,3
12,partners,activity,new,yoga,fit,workout,events,5,5,9,12,7,10,3
13,summer,certified,boxing,club,play,night,gym,4,5,9,12,6,9,3
14,fitness,lose,buddy,new,bootcamp,male,softball,4,5,9,11,6,9,3
15,amateur,weight,play,best,boxing,tennis,soccer,3,5,9,10,6,9,3
16,baseball,football,soccer,dance,learn,phoenix,lose,3,4,9,10,6,8,3
17,adult,lessons,classes,summer,make,youth,hitting,3,4,9,9,5,8,3
18,chicago,mma,class,play,player,lil,available,3,4,8,9,5,7,3
19,men,summer,dance,trainer,soccer,week,camps,3,4,8,9,5,7,3
